x=[7.472984557003266, 5.483067201348943, 4.202348463497064] | Mass=0.0393 | Stress=977171.1889
x=[3.8004071612362966, 4.8428725556971175, 3.0701394065828436] | Mass=0.0268 | Stress=1450030.6596
x=[6.738173198017883, 6.87834446008044, 5.8045411476383215] | Mass=0.0446 | Stress=910552.2223
x=[5.105944405716874, 7.310689387564499, 7.770515794531472] | Mass=0.0472 | Stress=882719.6830
x=[4.308965721483494, 3.8922635523052964, 6.545722319547018] | Mass=0.0366 | Stress=1012446.3701
x=[5.580091978313975, 3.4687549876472117, 5.824581507158202] | Mass=0.0365 | Stress=1324627.2531
x=[7.472984557003266, 4.128146863615236, 5.683294125287302] | Mass=0.0414 | Stress=1078212.1673
x=[7.948727695450487, 6.87834446008044, 5.752904724434943] | Mass=0.0471 | Stress=855854.5840
x=[3.418041890509922, 5.557598247778999, 7.770515794531472] | Mass=0.0408 | Stress=936428.5755
x=[4.0878926382019944, 4.305498290253337, 5.533025121714808] | Mass=0.0338 | Stress=1112435.2487
x=[3.3249199750712877, 4.8428725556971175, 3.0701394065828436] | Mass=0.0257 | Stress=1462744.0231
x=[7.472984557003266, 4.032654425123761, 6.082191244801907] | Mass=0.0424 | Stress=1012469.2628
x=[6.738173198017883, 6.87834446008044, 3.3379617425946235] | Mass=0.0376 | Stress=1060049.0786
x=[5.51537036985451, 5.604862583757342, 5.208116121468004] | Mass=0.0381 | Stress=956818.0138
x=[6.8607623152763235, 4.428610654412401, 5.533025121714808] | Mass=0.0401 | Stress=1031338.6699
x=[3.3249199750712877, 4.8428725556971175, 3.0701394065828436] | Mass=0.0257 | Stress=1462744.0231
x=[3.3249199850712876, 4.8428725556971175, 3.0701394065828436] | Mass=0.0257 | Stress=1462077.5649
x=[3.3249199750712877, 4.842872565697117, 3.0701394065828436] | Mass=0.0257 | Stress=1462695.0616
x=[3.3249199750712877, 4.8428725556971175, 3.0701394165828435] | Mass=0.0257 | Stress=1463426.7515
x=[3.322719138669779, 4.841101821432686, 3.067199044028188] | Mass=0.0257 | Stress=1463380.3242
x=[3.322719148669779, 4.841101821432686, 3.067199044028188] | Mass=0.0257 | Stress=1461937.5887
x=[3.322719138669779, 4.841101831432686, 3.067199044028188] | Mass=0.0257 | Stress=1463248.2761
x=[3.322719138669779, 4.841101821432686, 3.067199054028188] | Mass=0.0257 | Stress=1463465.3123
x=[3.3205183022682703, 4.83933093173703, 3.064258586410686] | Mass=0.0257 | Stress=1463062.1148
x=[3.32051831226827, 4.83933093173703, 3.064258586410686] | Mass=0.0257 | Stress=1464331.3512
x=[3.3205183022682703, 4.83933094173703, 3.064258586410686] | Mass=0.0257 | Stress=1463219.0957
x=[3.3205183022682703, 4.83933093173703, 3.064258596410686] | Mass=0.0257 | Stress=1462624.5054
x=[3.3117149566622355, 4.832247372954405, 3.052496755940677] | Mass=0.0256 | Stress=1469846.0135
x=[3.3117149666622354, 4.832247372954405, 3.052496755940677] | Mass=0.0256 | Stress=1470207.2045
x=[3.3117149566622355, 4.832247382954405, 3.052496755940677] | Mass=0.0256 | Stress=1470429.0019
x=[3.3117149566622355, 4.832247372954405, 3.0524967659406768] | Mass=0.0256 | Stress=1469257.4427
x=[3.2765015742380963, 4.803913137823904, 3.0054494340606404] | Mass=0.0253 | Stress=1496872.5654
x=[3.2765015842380962, 4.803913137823904, 3.0054494340606404] | Mass=0.0253 | Stress=1498035.1258
x=[3.2765015742380963, 4.803913147823904, 3.0054494340606404] | Mass=0.0253 | Stress=1496709.8573
x=[3.2765015742380963, 4.803913137823904, 3.0054494440606403] | Mass=0.0253 | Stress=1497130.1830
x=[3.272422850988731, 4.800631217837129, 3.0] | Mass=0.0253 | Stress=1500027.1601
x=[3.272422860988731, 4.800631217837129, 3.0] | Mass=0.0253 | Stress=1497607.1776
x=[3.272422850988731, 4.800631227837129, 3.0] | Mass=0.0253 | Stress=1501037.9630
x=[3.272422850988731, 4.800631217837129, 3.00000001] | Mass=0.0253 | Stress=1499891.8682
x=[3.2702220170158354, 4.79885674420275, 3.0] | Mass=0.0253 | Stress=1502224.2939
x=[3.2702220270158353, 4.79885674420275, 3.0] | Mass=0.0253 | Stress=1501149.7951
x=[3.2702220170158354, 4.79885675420275, 3.0] | Mass=0.0253 | Stress=1501854.0325
x=[3.2702220170158354, 4.79885674420275, 3.00000001] | Mass=0.0253 | Stress=1502324.0040
x=[3.261418681124252, 4.791758849665234, 3.0] | Mass=0.0253 | Stress=1506025.1490
x=[3.261418691124252, 4.791758849665234, 3.0] | Mass=0.0253 | Stress=1504562.4217
x=[3.261418681124252, 4.791758859665234, 3.0] | Mass=0.0253 | Stress=1505910.9825
x=[3.261418681124252, 4.791758849665234, 3.00000001] | Mass=0.0253 | Stress=1505714.5134
x=[3.2262053375579187, 4.76336727151517, 3.0] | Mass=0.0251 | Stress=1523876.5515
x=[3.2262053475579187, 4.76336727151517, 3.0] | Mass=0.0251 | Stress=1524000.2495
x=[3.2262053375579187, 4.76336728151517, 3.0] | Mass=0.0251 | Stress=1523045.9685
x=[3.2262053375579187, 4.76336727151517, 3.00000001] | Mass=0.0251 | Stress=1522629.4815
x=[3.0853519632925854, 4.6498009589149145, 3.0] | Mass=0.0246 | Stress=1591610.9308
x=[3.0853519732925854, 4.6498009589149145, 3.0] | Mass=0.0246 | Stress=1591092.5877
x=[3.0853519632925854, 4.6498009689149145, 3.0] | Mass=0.0246 | Stress=1591426.8849
x=[3.0853519632925854, 4.6498009589149145, 3.00000001] | Mass=0.0246 | Stress=1591756.1272
x=[3.0, 4.580983951194021, 3.0] | Mass=0.0243 | Stress=1636663.2366
